k,#TP,%SMOTE,NB,SVM_2,RF_20
90,2,500,56.81%,54.83%,56.3%
90,2_Last,500,56.99%,52.12%,57.16%
90,3,500,66.32%,57.46%,54.52%
90,3_Last,500,62.76%,56.19%,62.25%
90,4,500,68.93%,67.62%,73.23%
90,4_Last,500,63.21%,57.23%,68.85%
90,5,500,77.29%,67.8%,69.38%
90,5_Last,500,65.05%,53.33%,69.96%
k,#TP,%SMOTE,NB,SVM_2,RF_20
180,2,500,66.67%,57.99%,66.57%
180,2_Last,500,64.65%,59.81%,63.61%
180,3,500,70.91%,59.27%,66.94%
180,3_Last,500,69.73%,61.45%,69.67%
180,4,500,80.24%,61.77%,76.38%
180,4_Last,500,79.58%,62.66%,75.54%
180,5,500,77.11%,70.39%,81.38%
180,5_Last,500,77.25%,67.5%,73.68%
k,#TP,%SMOTE,NB,SVM_2,RF_20
365,2,500,68.83%,51.47%,70.54%
365,2_Last,500,69.25%,51.78%,72.12%
365,3,500,80.11%,61.07%,74.53%
365,3_Last,500,79.91%,64.81%,76.41%
365,4,500,80.08%,69.08%,79.5%
365,4_Last,500,81.89%,63.51%,77.91%
365,5,500,84.27%,72.5%,79.48%
365,5_Last,500,80.88%,69.88%,81.94%
