90,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2
90,Ori,61.23,63.03,62.77,65.67,51.71,50.77,51.17,51.96,52.26,52.45,60.54,62.1,66.89,67.14,61.72,60.49,65.0,67.1
90,FS,63.06,60.34,63.66,61.14,50.0,52.71,51.06,50.0,52.56,50.97,57.18,57.18,59.12,58.25,58.38,57.84,60.06,59.15
90,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3
90,Ori,58.42,61.7,60.53,64.17,65.38,66.48,48.46,50.51,48.62,48.46,49.15,48.03,48.89,53.79,52.78,61.54,56.04,53.92,55.08,57.64,58.13,55.12,55.19,57.15,56.07,56.09,57.24
90,FS,47.87,48.0,50.05,49.79,54.84,55.62,48.85,48.85,48.85,48.85,48.85,48.85,48.97,48.97,48.97,46.72,48.39,50.08,49.27,47.22,48.08,50.03,50.37,49.13,51.5,53.23,53.0
180,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2
180,Ori,59.69,67.03,61.73,67.83,57.65,53.05,50.0,58.71,53.17,53.0,60.78,63.88,65.3,67.0,59.18,63.32,65.25,67.06
180,FS,56.45,59.05,57.78,60.54,47.98,47.53,47.49,48.71,47.22,47.99,58.45,59.11,59.13,60.4,56.5,58.45,58.96,59.63
180,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3
180,Ori,62.24,63.43,63.33,64.48,64.86,65.68,54.52,59.2,53.57,55.49,58.51,52.84,56.71,60.92,55.89,51.25,58.88,58.91,61.82,56.73,61.34,60.46,63.07,56.04,60.6,61.93,63.03
180,FS,65.91,64.82,66.62,65.09,66.74,65.49,48.64,48.68,50.43,48.64,48.68,51.56,48.9,48.95,52.53,60.1,63.87,63.96,63.52,58.43,61.78,61.46,61.82,58.14,61.08,60.93,61.08
365,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2
365,Ori,66.81,71.01,67.66,72.52,60.39,60.67,58.94,61.25,60.83,58.67,64.96,64.7,67.14,66.94,65.74,65.32,67.92,68.4
365,FS,63.96,62.98,64.8,63.86,60.06,61.83,63.83,61.67,63.64,64.83,57.03,56.83,56.44,56.91,60.11,59.56,59.72,59.35
365,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3
365,Ori,71.85,70.14,73.72,72.7,75.72,74.99,63.93,60.36,58.57,64.64,63.15,58.51,65.75,63.93,60.32,69.68,74.83,78.28,76.41,71.44,73.87,75.77,75.86,70.28,74.59,76.63,75.9
365,FS,80.24,80.0,80.24,79.29,80.24,79.05,65.24,67.98,70.36,65.95,68.39,70.36,66.19,68.53,70.36,75.05,73.89,73.79,76.28,73.74,71.22,72.54,74.25,73.3,70.32,72.13,73.58
